sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"Mouse Gaming Logitech G102",,Mouse&Keyboard,configurable,"Default Category,Default Category/Mouse&Keyboard",base,"Mouse Gaming Logitech G102",,,,1,"Taxable Goods","Catalog, Search",,,,,mouse-gaming-logitech-g102,"Mouse Gaming Logitech G102","Mouse Gaming Logitech G102","Mouse Gaming Logitech G102",/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500.jpg,,/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500.jpg,,/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500.jpg,,/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500.jpg,,"12/19/24, 6:00 PM","12/19/24, 6:00 PM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,is_featured=No,0.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500.jpg,,,,,,,,,,,,,"sku=Mouse Gaming Logitech G102-black,color=black|sku=Mouse Gaming Logitech G102-white,color=white",color=Color
"SIlent Mouse Rapoo N1200-black",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"SIlent Mouse Rapoo N1200-black",,,,1,"Taxable Goods","Not Visible Individually",90000.000000,,,,silent-mouse-rapoo-n1200-black,"SIlent Mouse Rapoo N1200","SIlent Mouse Rapoo N1200","SIlent Mouse Rapoo N1200",/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_2.jpg,,/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_2.jpg,,/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_2.jpg,,/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_2.jpg,,"12/19/24, 6:02 PM","12/19/24, 6:02 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=black,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_2.jpg,,,,,,,,,,,,,,
"SIlent Mouse Rapoo N1200-white",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"SIlent Mouse Rapoo N1200-white",,,,1,"Taxable Goods","Not Visible Individually",90000.000000,,,,silent-mouse-rapoo-n1200-white,"SIlent Mouse Rapoo N1200","SIlent Mouse Rapoo N1200","SIlent Mouse Rapoo N1200",/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_3.jpg,,/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_3.jpg,,/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_3.jpg,,/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_3.jpg,,"12/19/24, 6:02 PM","12/19/24, 6:02 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=white,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_3.jpg,,,,,,,,,,,,,,
"SIlent Mouse Rapoo N1200",,Mouse&Keyboard,configurable,"Default Category,Default Category/Mouse&Keyboard",base,"SIlent Mouse Rapoo N1200",,,,1,"Taxable Goods","Catalog, Search",,,,,silent-mouse-rapoo-n1200,"SIlent Mouse Rapoo N1200","SIlent Mouse Rapoo N1200","SIlent Mouse Rapoo N1200",/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_1.jpg,,/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_1.jpg,,/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_1.jpg,,/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_1.jpg,,"12/19/24, 6:02 PM","12/19/24, 6:02 PM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,is_featured=No,0.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-co-day-silent-rapoo-n1200-den-1-1-750x500_1.jpg,,,,,,,,,,,,,"sku=SIlent Mouse Rapoo N1200-black,color=black|sku=SIlent Mouse Rapoo N1200-white,color=white",color=Color
"Bluetooth Logitech Lift Vertical-black",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"Bluetooth Logitech Lift Vertical-black",,,,1,"Taxable Goods","Not Visible Individually",1220000.000000,,,,bluetooth-logitech-lift-vertical-black,"Bluetooth Logitech Lift Vertical","Bluetooth Logitech Lift Vertical","Bluetooth Logitech Lift Vertical",/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_1.jpg,,/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_1.jpg,,/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_1.jpg,,/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_1.jpg,,"12/19/24, 6:04 PM","12/19/24, 6:04 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=black,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_1.jpg,,,,,,,,,,,,,,
"Bluetooth Logitech Lift Vertical-white",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"Bluetooth Logitech Lift Vertical-white",,,,1,"Taxable Goods","Not Visible Individually",1220000.000000,,,,bluetooth-logitech-lift-vertical-white,"Bluetooth Logitech Lift Vertical","Bluetooth Logitech Lift Vertical","Bluetooth Logitech Lift Vertical",/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_2.jpg,,/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_2.jpg,,/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_2.jpg,,/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_2.jpg,,"12/19/24, 6:04 PM","12/19/24, 6:04 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=white,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_2.jpg,,,,,,,,,,,,,,
"Bluetooth Logitech Lift Vertical",,Mouse&Keyboard,configurable,"Default Category,Default Category/Mouse&Keyboard",base,"Bluetooth Logitech Lift Vertical",,,,1,"Taxable Goods","Catalog, Search",,,,,bluetooth-logitech-lift-vertical,"Bluetooth Logitech Lift Vertical","Bluetooth Logitech Lift Vertical","Bluetooth Logitech Lift Vertical",/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_2_1.jpg,,/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_2_1.jpg,,/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_2_1.jpg,,,,"12/19/24, 6:04 PM","12/19/24, 6:18 PM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,is_featured=No,0.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-bluetooth-logitech-lift-vertical-den-1-638620824362968034-750x500_2_1.jpg,,,,,,,,,,,,,"sku=Bluetooth Logitech Lift Vertical-black,color=black|sku=Bluetooth Logitech Lift Vertical-white,color=white",color=Color
"Bluetooth Keyboard Logitech Pop Icon-black",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"Bluetooth Keyboard Logitech Pop Icon-black",,,,1,"Taxable Goods","Not Visible Individually",1790000.000000,,,,bluetooth-keyboard-logitech-pop-icon-black,"Bluetooth Keyboard Logitech Pop Icon","Bluetooth Keyboard Logitech Pop Icon","Bluetooth Keyboard Logitech Pop Icon",/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_1.jpg,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_1.jpg,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_1.jpg,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_1.jpg,,"12/19/24, 6:07 PM","12/19/24, 6:07 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=black,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_1.jpg,,,,,,,,,,,,,,
"Bluetooth Keyboard Logitech Pop Icon-pink",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"Bluetooth Keyboard Logitech Pop Icon-pink",,,,1,"Taxable Goods","Not Visible Individually",1790000.000000,,,,bluetooth-keyboard-logitech-pop-icon-pink,"Bluetooth Keyboard Logitech Pop Icon","Bluetooth Keyboard Logitech Pop Icon","Bluetooth Keyboard Logitech Pop Icon",/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_2.jpg,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_2.jpg,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_2.jpg,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_2.jpg,,"12/19/24, 6:07 PM","12/19/24, 6:07 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=pink,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_2.jpg,,,,,,,,,,,,,,
"Bluetooth Keyboard Logitech Pop Icon-white",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"Bluetooth Keyboard Logitech Pop Icon-white",,,,1,"Taxable Goods","Not Visible Individually",1790000.000000,,,,bluetooth-keyboard-logitech-pop-icon-white,"Bluetooth Keyboard Logitech Pop Icon","Bluetooth Keyboard Logitech Pop Icon","Bluetooth Keyboard Logitech Pop Icon",/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_3.jpg,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_3.jpg,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_3.jpg,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_3.jpg,,"12/19/24, 6:07 PM","12/19/24, 6:07 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=white,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500_3.jpg,,,,,,,,,,,,,,
"Bluetooth Keyboard Logitech Pop Icon",,Mouse&Keyboard,configurable,"Default Category,Default Category/Mouse&Keyboard",base,"Bluetooth Keyboard Logitech Pop Icon",,,,1,"Taxable Goods","Catalog, Search",,,,,bluetooth-keyboard-logitech-pop-icon,"Bluetooth Keyboard Logitech Pop Icon","Bluetooth Keyboard Logitech Pop Icon","Bluetooth Keyboard Logitech Pop Icon",/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500.jpg,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500.jpg,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500.jpg,,,,"12/19/24, 6:07 PM","12/19/24, 6:07 PM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,is_featured=No,0.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/o/bo-ban-phim-chuot-bluetooth-logitech-pop-icon-den-1-638671761566656080-750x500.jpg,,,,,,,,,,,,,"sku=Bluetooth Keyboard Logitech Pop Icon-black,color=black|sku=Bluetooth Keyboard Logitech Pop Icon-pink,color=pink|sku=Bluetooth Keyboard Logitech Pop Icon-white,color=white",color=Color
