sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels,errors
"XiaoMi 14T 5G-512GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"XiaoMi 14T 5G-512GB",,,,1,"Taxable Goods","Not Visible Individually",13990000.000000,,,,xiaomi-14t-5g-512gb,"XiaoMi 14T 5G","XiaoMi 14T 5G","XiaoMi 14T 5G",/x/i/xiaomi-14t-xam-1-638635700973443455-750x500_2.jpg,,/x/i/xiaomi-14t-xam-1-638635700973443455-750x500_2.jpg,,/x/i/xiaomi-14t-xam-1-638635700973443455-750x500_2.jpg,,/x/i/xiaomi-14t-xam-1-638635700973443455-750x500_2.jpg,,"12/19/24, 2:29 AM","12/19/24, 2:29 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=512GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/x/i/xiaomi-14t-xam-1-638635700973443455-750x500_2.jpg,,,,,,,,,,,,,,,
"XiaoMi 14T 5G",,Phone,configurable,"Default Category,Default Category/Phone",base,"XiaoMi 14T 5G",,,,1,"Taxable Goods","Catalog, Search",,,,,xiaomi-14t-5g,"XiaoMi 14T 5G","XiaoMi 14T 5G","XiaoMi 14T 5G",/x/i/xiaomi-14t-xam-1-638635700973443455-750x500.jpg,,/x/i/xiaomi-14t-xam-1-638635700973443455-750x500.jpg,,/x/i/xiaomi-14t-xam-1-638635700973443455-750x500.jpg,,,,"12/19/24, 2:29 AM","12/19/24, 2:30 AM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,is_featured=No,0.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/x/i/xiaomi-14t-xam-1-638635700973443455-750x500.jpg,,,,,,,,,,,,,"sku=XiaoMi 14T 5G-256GB,rom=256GB|sku=XiaoMi 14T 5G-512GB,rom=512GB",rom=ROM,"Column configurable_variations: Attribute with code ""rom"" does not exist or is missing from product attribute set"
"Samsung Galaxy Z Fold6 5G-256GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"Samsung Galaxy Z Fold6 5G-256GB",,,,1,"Taxable Goods","Not Visible Individually",43990000.000000,,,,samsung-galaxy-z-fold6-5g-256gb,"Samsung Galaxy Z Fold6 5G","Samsung Galaxy Z Fold6 5G","Samsung Galaxy Z Fold6 5G",/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_1.jpg,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_1.jpg,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_1.jpg,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_1.jpg,,"12/19/24, 2:34 AM","12/19/24, 2:34 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=256GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_1.jpg,,,,,,,,,,,,,,,
"Samsung Galaxy Z Fold6 5G-512GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"Samsung Galaxy Z Fold6 5G-512GB",,,,1,"Taxable Goods","Not Visible Individually",47990000.000000,,,,samsung-galaxy-z-fold6-5g-512gb,"Samsung Galaxy Z Fold6 5G","Samsung Galaxy Z Fold6 5G","Samsung Galaxy Z Fold6 5G",/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_2.jpg,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_2.jpg,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_2.jpg,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_2.jpg,,"12/19/24, 2:34 AM","12/19/24, 2:34 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=512GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_2.jpg,,,,,,,,,,,,,,,
"Samsung Galaxy Z Fold6 5G-1TB",,Phone,virtual,"Default Category,Default Category/Phone",base,"Samsung Galaxy Z Fold6 5G-1TB",,,,1,"Taxable Goods","Not Visible Individually",54990000.000000,,,,samsung-galaxy-z-fold6-5g-1tb,"Samsung Galaxy Z Fold6 5G","Samsung Galaxy Z Fold6 5G","Samsung Galaxy Z Fold6 5G",/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_3.jpg,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_3.jpg,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_3.jpg,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_3.jpg,,"12/19/24, 2:34 AM","12/19/24, 2:34 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=1TB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500_3.jpg,,,,,,,,,,,,,,,
"Samsung Galaxy Z Fold6 5G",,Phone,configurable,"Default Category,Default Category/Phone",base,"Samsung Galaxy Z Fold6 5G",,,,1,"Taxable Goods","Catalog, Search",,,,,samsung-galaxy-z-fold6-5g,"Samsung Galaxy Z Fold6 5G","Samsung Galaxy Z Fold6 5G","Samsung Galaxy Z Fold6 5G",/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500.jpg,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500.jpg,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500.jpg,,,,"12/19/24, 2:34 AM","12/19/24, 2:38 AM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,is_featured=No,0.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/s/a/samsung-galaxy-z-fold6-xam-1-1-750x500.jpg,,,,,,,,,,,,,"sku=Samsung Galaxy Z Fold6 5G-256GB,rom=256GB|sku=Samsung Galaxy Z Fold6 5G-512GB,rom=512GB|sku=Samsung Galaxy Z Fold6 5G-1TB,rom=1TB",rom=ROM,"Column configurable_variations: Attribute with code ""rom"" does not exist or is missing from product attribute set"
"Samsung Galaxy Z Flip6 5G-256GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"Samsung Galaxy Z Flip6 5G-256GB",,,,1,"Taxable Goods","Not Visible Individually",28990000.000000,,,,samsung-galaxy-z-flip6-5g-256gb,"Samsung Galaxy Z Flip6 5G","Samsung Galaxy Z Flip6 5G","Samsung Galaxy Z Flip6 5G",/s/a/samsung-galaxy-z-flip6-mint-1-750x500_1.jpg,,/s/a/samsung-galaxy-z-flip6-mint-1-750x500_1.jpg,,/s/a/samsung-galaxy-z-flip6-mint-1-750x500_1.jpg,,/s/a/samsung-galaxy-z-flip6-mint-1-750x500_1.jpg,,"12/19/24, 2:36 AM","12/19/24, 2:36 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=256GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/s/a/samsung-galaxy-z-flip6-mint-1-750x500_1.jpg,,,,,,,,,,,,,,,
"Samsung Galaxy Z Flip6 5G-512GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"Samsung Galaxy Z Flip6 5G-512GB",,,,1,"Taxable Goods","Not Visible Individually",32990000.000000,,,,samsung-galaxy-z-flip6-5g-512gb,"Samsung Galaxy Z Flip6 5G","Samsung Galaxy Z Flip6 5G","Samsung Galaxy Z Flip6 5G",/s/a/samsung-galaxy-z-flip6-mint-1-750x500_2.jpg,,/s/a/samsung-galaxy-z-flip6-mint-1-750x500_2.jpg,,/s/a/samsung-galaxy-z-flip6-mint-1-750x500_2.jpg,,/s/a/samsung-galaxy-z-flip6-mint-1-750x500_2.jpg,,"12/19/24, 2:36 AM","12/19/24, 2:36 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=512GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/s/a/samsung-galaxy-z-flip6-mint-1-750x500_2.jpg,,,,,,,,,,,,,,,
"Samsung Galaxy Z Flip6 5G",,Phone,configurable,"Default Category,Default Category/Phone",base,"Samsung Galaxy Z Flip6 5G",,,,1,"Taxable Goods","Catalog, Search",,,,,samsung-galaxy-z-flip6-5g,"Samsung Galaxy Z Flip6 5G","Samsung Galaxy Z Flip6 5G","Samsung Galaxy Z Flip6 5G",/s/a/samsung-galaxy-z-flip6-mint-1-750x500.jpg,,/s/a/samsung-galaxy-z-flip6-mint-1-750x500.jpg,,/s/a/samsung-galaxy-z-flip6-mint-1-750x500.jpg,,,,"12/19/24, 2:36 AM","12/19/24, 2:38 AM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,is_featured=No,0.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/s/a/samsung-galaxy-z-flip6-mint-1-750x500.jpg,,,,,,,,,,,,,"sku=Samsung Galaxy Z Flip6 5G-256GB,rom=256GB|sku=Samsung Galaxy Z Flip6 5G-512GB,rom=512GB",rom=ROM,"Column configurable_variations: Attribute with code ""rom"" does not exist or is missing from product attribute set"
"iPhone 15 Plus-128GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"iPhone 15 Plus-128GB",,,,1,"Taxable Goods","Not Visible Individually",22990000.000000,,,,iphone-15-plus-128gb,"iPhone 15 Plus","iPhone 15 Plus","iPhone 15 Plus",/i/p/iphone-15-plus-1-750x500_1.jpg,,/i/p/iphone-15-plus-1-750x500_1.jpg,,/i/p/iphone-15-plus-1-750x500_1.jpg,,/i/p/iphone-15-plus-1-750x500_1.jpg,,"12/19/24, 2:37 AM","12/19/24, 2:37 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=128GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-15-plus-1-750x500_1.jpg,,,,,,,,,,,,,,,
"iPhone 15 Plus-256GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"iPhone 15 Plus-256GB",,,,1,"Taxable Goods","Not Visible Individually",25990000.000000,,,,iphone-15-plus-256gb,"iPhone 15 Plus","iPhone 15 Plus","iPhone 15 Plus",/i/p/iphone-15-plus-1-750x500_2.jpg,,/i/p/iphone-15-plus-1-750x500_2.jpg,,/i/p/iphone-15-plus-1-750x500_2.jpg,,/i/p/iphone-15-plus-1-750x500_2.jpg,,"12/19/24, 2:37 AM","12/19/24, 2:37 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=256GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-15-plus-1-750x500_2.jpg,,,,,,,,,,,,,,,
"iPhone 15 Plus-512GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"iPhone 15 Plus-512GB",,,,1,"Taxable Goods","Not Visible Individually",31990000.000000,,,,iphone-15-plus-512gb,"iPhone 15 Plus","iPhone 15 Plus","iPhone 15 Plus",/i/p/iphone-15-plus-1-750x500_3.jpg,,/i/p/iphone-15-plus-1-750x500_3.jpg,,/i/p/iphone-15-plus-1-750x500_3.jpg,,/i/p/iphone-15-plus-1-750x500_3.jpg,,"12/19/24, 2:37 AM","12/19/24, 2:37 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=512GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-15-plus-1-750x500_3.jpg,,,,,,,,,,,,,,,
"iPhone 15 Plus",,Phone,configurable,"Default Category,Default Category/Phone",base,"iPhone 15 Plus",,,,1,"Taxable Goods","Catalog, Search",,,,,iphone-15-plus,"iPhone 15 Plus","iPhone 15 Plus","iPhone 15 Plus",/i/p/iphone-15-plus-1-750x500.jpg,,/i/p/iphone-15-plus-1-750x500.jpg,,/i/p/iphone-15-plus-1-750x500.jpg,,,,"12/19/24, 2:37 AM","12/19/24, 2:39 AM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,is_featured=No,0.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-15-plus-1-750x500.jpg,,,,,,,,,,,,,"sku=iPhone 15 Plus-128GB,rom=128GB|sku=iPhone 15 Plus-256GB,rom=256GB|sku=iPhone 15 Plus-512GB,rom=512GB",rom=ROM,"Column configurable_variations: Attribute with code ""rom"" does not exist or is missing from product attribute set"
"iPhone 14-128GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"iPhone 14-128GB",,,,1,"Taxable Goods","Not Visible Individually",17290000.000000,,,,iphone-14-128gb,"iPhone 14","iPhone 14","iPhone 14",/i/p/iphone-14-bbh-org_2.jpg,,/i/p/iphone-14-bbh-org_2.jpg,,/i/p/iphone-14-bbh-org_2.jpg,,/i/p/iphone-14-bbh-org_2.jpg,,"12/19/24, 2:41 AM","12/19/24, 2:41 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=128GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-14-bbh-org_2.jpg,,,,,,,,,,,,,,,
"iPhone 14-256GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"iPhone 14-256GB",,,,1,"Taxable Goods","Not Visible Individually",20290000.000000,,,,iphone-14-256gb,"iPhone 14","iPhone 14","iPhone 14",/i/p/iphone-14-bbh-org_3.jpg,,/i/p/iphone-14-bbh-org_3.jpg,,/i/p/iphone-14-bbh-org_3.jpg,,/i/p/iphone-14-bbh-org_3.jpg,,"12/19/24, 2:41 AM","12/19/24, 2:41 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=256GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-14-bbh-org_3.jpg,,,,,,,,,,,,,,,
