sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"Screen Asus VY249HF-R 23.8 inch-24.5"" FHD",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Asus VY249HF-R 23.8 inch-24.5"" FHD",,,,1,Taxable Goods,Not Visible Individually,2290000,,,,,,,,,,,,,,,,"12/19/24, 5:02 PM","12/19/24, 5:02 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=24.5"" FHD",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Screen Asus VY249HF-R 23.8 inch-21.45"" FHD",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Asus VY249HF-R 23.8 inch-21.45"" FHD",,,,1,Taxable Goods,Not Visible Individually,2290000,,,,,,,,,,,,,,,,"12/19/24, 5:02 PM","12/19/24, 5:02 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=21.45"" FHD",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Screen Asus VY249HF-R 23.8 inch-27"" FHD",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Asus VY249HF-R 23.8 inch-27"" FHD",,,,1,Taxable Goods,Not Visible Individually,2290000,,,,,,,,,,,,,,,,"12/19/24, 5:02 PM","12/19/24, 5:02 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=27"" FHD",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Screen Asus VY249HF-R 23.8 inch,,Screen,configurable,"Default Category,Default Category/Screen",base,Screen Asus VY249HF-R 23.8 inch,,,,1,Taxable Goods,"Catalog, Search",,,,,,,,,,,,,,,,,"12/19/24, 5:02 PM","12/19/24, 5:02 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"sku=Screen Asus VY249HF-R 23.8 inch-24.5"" FHD,screen=24.5"" FHD|sku=Screen Asus VY249HF-R 23.8 inch-21.45"" FHD,screen=21.45"" FHD|sku=Screen Asus VY249HF-R 23.8 inch-27"" FHD,screen=27"" FHD",screen=Screen
"Screen Gaming Asus TUF VG249Q3A 23.8 inch-24""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Gaming Asus TUF VG249Q3A 23.8 inch-24""",,,,1,Taxable Goods,Not Visible Individually,3190000,,,,,,,,,,,,,,,,"12/19/24, 5:08 PM","12/19/24, 5:08 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=24""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Screen Gaming Asus TUF VG249Q3A 23.8 inch-27""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Gaming Asus TUF VG249Q3A 23.8 inch-27""",,,,1,Taxable Goods,Not Visible Individually,3190000,,,,,,,,,,,,,,,,"12/19/24, 5:08 PM","12/19/24, 5:08 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=27""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Screen Gaming Asus TUF VG249Q3A 23.8 inch,,Screen,configurable,"Default Category,Default Category/Screen",base,Screen Gaming Asus TUF VG249Q3A 23.8 inch,,,,1,Taxable Goods,"Catalog, Search",,,,,,,,,,,,,,,,,"12/19/24, 5:08 PM","12/19/24, 5:08 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"sku=Screen Gaming Asus TUF VG249Q3A 23.8 inch-24"",screen=24""|sku=Screen Gaming Asus TUF VG249Q3A 23.8 inch-27"",screen=27""",screen=Screen
"Screen Samsung S3 S31C LS24C310EAEXXV-24""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Samsung S3 S31C LS24C310EAEXXV-24""",,,,1,Taxable Goods,Not Visible Individually,2190000,,,,,,,,,,,,,,,,"12/19/24, 5:11 PM","12/19/24, 5:11 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=24""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Screen Samsung S3 S31C LS24C310EAEXXV-27""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Samsung S3 S31C LS24C310EAEXXV-27""",,,,1,Taxable Goods,Not Visible Individually,2190000,,,,,,,,,,,,,,,,"12/19/24, 5:11 PM","12/19/24, 5:11 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=27""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Screen Samsung S3 S31C LS24C310EAEXXV,,Screen,configurable,"Default Category,Default Category/Screen",base,Screen Samsung S3 S31C LS24C310EAEXXV,,,,1,Taxable Goods,"Catalog, Search",,,,,,,,,,,,,,,,,"12/19/24, 5:11 PM","12/19/24, 5:11 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"sku=Screen Samsung S3 S31C LS24C310EAEXXV-24"",screen=24""|sku=Screen Samsung S3 S31C LS24C310EAEXXV-27"",screen=27""",screen=Screen
"Screen Gaming Samsung Odyssey G5 G51C-24""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Gaming Samsung Odyssey G5 G51C-24""",,,,1,Taxable Goods,Not Visible Individually,4790000,,,,,,,,,,,,,,,,"12/19/24, 5:14 PM","12/19/24, 5:14 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=24""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Screen Gaming Samsung Odyssey G5 G51C-27""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Gaming Samsung Odyssey G5 G51C-27""",,,,1,Taxable Goods,Not Visible Individually,4790000,,,,,,,,,,,,,,,,"12/19/24, 5:14 PM","12/19/24, 5:14 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=27""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Screen Gaming Samsung Odyssey G5 G51C,,Screen,configurable,"Default Category,Default Category/Screen",base,Screen Gaming Samsung Odyssey G5 G51C,,,,1,Taxable Goods,"Catalog, Search",,,,,,,,,,,,,,,,,"12/19/24, 5:14 PM","12/19/24, 5:25 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"sku=Screen Gaming Samsung Odyssey G5 G51C-24"",screen=24""|sku=Screen Gaming Samsung Odyssey G5 G51C-27"",screen=27""",screen=Screen
"Screen Dell E2423HN 23.8 inch-24.5"" FHD",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Dell E2423HN 23.8 inch-24.5"" FHD",,,,1,Taxable Goods,Not Visible Individually,2990000,,,,,,,,,,,,,,,,"12/19/24, 5:15 PM","12/19/24, 5:15 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=24.5"" FHD",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Screen Dell E2423HN 23.8 inch-21.45"" FHD",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Dell E2423HN 23.8 inch-21.45"" FHD",,,,1,Taxable Goods,Not Visible Individually,2990000,,,,,,,,,,,,,,,,"12/19/24, 5:15 PM","12/19/24, 5:15 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=21.45"" FHD",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Screen Dell E2423HN 23.8 inch-27"" FHD",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Dell E2423HN 23.8 inch-27"" FHD",,,,1,Taxable Goods,Not Visible Individually,2990000,,,,,,,,,,,,,,,,"12/19/24, 5:15 PM","12/19/24, 5:15 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=27"" FHD",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Screen Dell E2423HN 23.8 inch,,Screen,configurable,"Default Category,Default Category/Screen",base,Screen Dell E2423HN 23.8 inch,,,,1,Taxable Goods,"Catalog, Search",,,,,,,,,,,,,,,,,"12/19/24, 5:15 PM","12/19/24, 5:15 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"sku=Screen Dell E2423HN 23.8 inch-24.5"" FHD,screen=24.5"" FHD|sku=Screen Dell E2423HN 23.8 inch-21.45"" FHD,screen=21.45"" FHD|sku=Screen Dell E2423HN 23.8 inch-27"" FHD,screen=27"" FHD",screen=Screen
"Screen HP V24i 23.8 inch-24""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen HP V24i 23.8 inch-24""",,,,1,Taxable Goods,Not Visible Individually,3090000,,,,,,,,,,,,,,,,"12/19/24, 5:18 PM","12/19/24, 5:18 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=24""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Screen HP V24i 23.8 inch-27""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen HP V24i 23.8 inch-27""",,,,1,Taxable Goods,Not Visible Individually,3090000,,,,,,,,,,,,,,,,"12/19/24, 5:18 PM","12/19/24, 5:18 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=27""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Screen HP V24i 23.8 inch,,Screen,configurable,"Default Category,Default Category/Screen",base,Screen HP V24i 23.8 inch,,,,1,Taxable Goods,"Catalog, Search",,,,,,,,,,,,,,,,,"12/19/24, 5:18 PM","12/19/24, 5:18 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"sku=Screen HP V24i 23.8 inch-24"",screen=24""|sku=Screen HP V24i 23.8 inch-27"",screen=27""",screen=Screen
"Screen Viewsonic VA2432-H 23.8 inch-24""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Viewsonic VA2432-H 23.8 inch-24""",,,,1,Taxable Goods,Not Visible Individually,2190000,,,,,,,,,,,,,,,,"12/19/24, 5:20 PM","12/19/24, 5:20 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=24""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Screen Viewsonic VA2432-H 23.8 inch-27""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Viewsonic VA2432-H 23.8 inch-27""",,,,1,Taxable Goods,Not Visible Individually,2190000,,,,,,,,,,,,,,,,"12/19/24, 5:20 PM","12/19/24, 5:20 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=27""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Screen Viewsonic VA2432-H 23.8 inch,,Screen,configurable,"Default Category,Default Category/Screen",base,Screen Viewsonic VA2432-H 23.8 inch,,,,1,Taxable Goods,"Catalog, Search",,,,,,,,,,,,,,,,,"12/19/24, 5:20 PM","12/19/24, 5:20 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"sku=Screen Viewsonic VA2432-H 23.8 inch-24"",screen=24""|sku=Screen Viewsonic VA2432-H 23.8 inch-27"",screen=27""",screen=Screen
Case Galaxy Tab S9 / Tab S9,,Default,virtual,"Default Category,Default Category/Accessories",base,Case Galaxy Tab S9 / Tab S9,,,,1,Taxable Goods,"Catalog, Search",1827000,,,,,,,,,,,,,,,,"12/19/24, 5:23 PM","12/19/24, 5:23 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Case Smart Folio cho iPad Pro M4 13 inch,,Default,virtual,"Default Category,Default Category/Accessories",base,Case Smart Folio cho iPad Pro M4 13 inch,,,,1,Taxable Goods,"Catalog, Search",2890000,,,,,,,,,,,,,,,,"12/19/24, 5:27 PM","12/19/24, 5:27 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Foldable IPad Air Case 6 13 inch,,Default,virtual,"Default Category,Default Category/Accessories",base,Foldable IPad Air Case 6 13 inch,,,,1,Taxable Goods,"Catalog, Search",1192000,,,,,,,,,,,,,,,,"12/19/24, 5:31 PM","12/19/24, 5:31 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Camera Case iPhone 16,,Default,virtual,"Default Category,Default Category/Accessories",base,Camera Case iPhone 16,,,,1,Taxable Goods,"Catalog, Search",315000,,,,,,,,,,,,,,,,"12/19/24, 5:34 PM","12/19/24, 5:34 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Airpods Case Pro 2,,Default,virtual,"Default Category,Default Category/Accessories",base,Airpods Case Pro 2,,,,1,Taxable Goods,"Catalog, Search",488000,,,,,,,,,,,,,,,,"12/19/24, 5:35 PM","12/19/24, 5:35 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Airpods Case Cactus,,Default,virtual,"Default Category,Default Category/Accessories",base,Airpods Case Cactus,,,,1,Taxable Goods,"Catalog, Search",32000,,,,,,,,,,,,,,,,"12/19/24, 5:37 PM","12/19/24, 5:37 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Car Phone Holding,,Default,virtual,"Default Category,Default Category/Accessories",base,Car Phone Holding,,,,1,Taxable Goods,"Catalog, Search",21000,,,,,,,,,,,,,,,,"12/19/24, 5:37 PM","12/19/24, 5:37 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Apple Pencil Pro,,Default,virtual,"Default Category,Default Category/Accessories",base,Apple Pencil Pro,,,,1,Taxable Goods,"Catalog, Search",3390000,,,,,,,,,,,,,,,,"12/19/24, 5:39 PM","12/19/24, 5:39 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Apple Pencil USB-C,,Default,virtual,"Default Category,Default Category/Accessories",base,Apple Pencil USB-C,,,,1,Taxable Goods,"Catalog, Search",2100000,,,,,,,,,,,,,,,,"12/19/24, 5:40 PM","12/19/24, 5:40 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Apple Pencil MQLY3,,Default,virtual,"Default Category,Default Category/Accessories",base,Apple Pencil MQLY3,,,,1,Taxable Goods,"Catalog, Search",2590000,,,,,,,,,,,,,,,,"12/19/24, 5:41 PM","12/19/24, 5:41 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
